,accuracy,ece,brier,coverage,filtered_accuracy
mean,0.6769946808510638,0.6347060281208696,0.23506514935911257,0.6332446808510638,0.7477973949874823
std,0.0018450049103073904,0.0001760829122709062,0.00015311098943784316,0.0022839845794305085,0.0013275859066607613
